Date,data,median,LB,UB
1/8/2023,1,0,0,0.47
1/15/2023,1,0,0,0.53
1/22/2023,0,0,0,0.58
1/29/2023,0,0,0,0.64
2/5/2023,0,0,0,0.7
2/12/2023,0,0,0,0.76
2/19/2023,1,0,0,0.81
2/26/2023,0,0,0,0.87
3/5/2023,1,0.02,0,0.93
3/12/2023,1,0.1,0,0.99
3/19/2023,1,0.18,0,1.05
3/26/2023,1,0.27,0,1.11
4/2/2023,1,0.35,0,1.17
4/9/2023,2,0.43,0,1.23
4/16/2023,0,0.52,0,1.29
4/23/2023,0,0.6,0,1.36
4/30/2023,1,0.68,0,1.42
5/7/2023,0,0.77,0.05,1.48
5/14/2023,2,0.85,0.15,1.55
5/21/2023,2,0.93,0.25,1.62
5/28/2023,2,1.02,0.35,1.68
6/4/2023,1,1.1,0.45,1.75
6/11/2023,0,1.18,0.54,1.82
6/18/2023,0,1.27,0.64,1.89
6/25/2023,0,1.35,0.73,1.96
7/2/2023,0,1.43,0.83,2.04
7/9/2023,0,1.52,0.92,2.11
7/16/2023,0,1.6,1.01,2.19
7/23/2023,2,1.68,1.1,2.27
7/30/2023,0,1.77,1.18,2.35
8/6/2023,1,1.85,1.27,2.43
8/13/2023,0,1.93,1.35,2.51
8/20/2023,1,2.02,1.43,2.6
8/27/2023,0,2.1,1.51,2.69
9/3/2023,0,2.18,1.59,2.77
9/10/2023,3,2.27,1.67,2.86
9/17/2023,1,2.35,1.74,2.96
9/24/2023,5,2.43,1.82,3.05
10/1/2023,5,2.52,1.89,3.14
10/8/2023,1,2.6,1.96,3.24
10/15/2023,1,2.68,2.03,3.34
10/22/2023,0,2.77,2.1,3.43
10/29/2023,2,2.85,2.17,3.53
11/5/2023,1,2.93,2.23,3.63
11/12/2023,0,3.02,2.3,3.74
11/19/2023,0,3.1,2.36,3.84
11/26/2023,0,3.18,2.42,3.94
12/3/2023,1,3.27,2.49,4.04
12/10/2023,2,3.35,2.55,4.15
12/17/2023,3,3.43,2.61,4.25
12/24/2023,11,3.52,2.67,4.36
12/31/2023,4,3.6,2.73,4.47
1/7/2024,4,3.68,2.79,4.57
1/14/2024,2,3.77,2.85,4.68
1/21/2024,2,3.85,2.91,4.79
1/28/2024,5,3.93,2.97,4.9
2/4/2024,3,4.02,3.03,5.01
2/11/2024,14,4.1,3.08,5.12
2/18/2024,9,4.18,3.14,5.22
2/25/2024,6,4.27,3.2,5.33
3/3/2024,2,4.35,3.26,5.44
3/10/2024,10,4.43,3.31,5.55
3/17/2024,2,4.52,3.37,5.66
3/24/2024,NA,4.6,3.42,5.78
3/31/2024,NA,4.68,3.48,5.89
4/7/2024,NA,4.77,3.54,6
4/14/2024,NA,4.85,3.59,6.11
