Date,data,median,LB,UB
1/8/2023,1,0.46,0,3.16
1/15/2023,1,0.48,0,2.94
1/22/2023,0,0.5,0,2.75
1/29/2023,0,0.52,0,2.6
2/5/2023,0,0.54,0,2.48
2/12/2023,0,0.56,0,2.39
2/19/2023,1,0.58,0,2.33
2/26/2023,0,0.6,0,2.28
3/5/2023,1,0.62,0,2.26
3/12/2023,1,0.63,0,2.25
3/19/2023,1,0.64,0,2.25
3/26/2023,1,0.65,0,2.25
4/2/2023,1,0.66,0,2.25
4/9/2023,2,0.67,0,2.25
4/16/2023,0,0.67,0,2.25
4/23/2023,0,0.67,0,2.25
4/30/2023,1,0.67,0,2.25
5/7/2023,0,0.66,0,2.25
5/14/2023,2,0.65,0,2.24
5/21/2023,2,0.65,0,2.23
5/28/2023,2,0.64,0,2.22
6/4/2023,1,0.63,0,2.2
6/11/2023,0,0.62,0,2.19
6/18/2023,0,0.61,0,2.18
6/25/2023,0,0.61,0,2.18
7/2/2023,0,0.61,0,2.17
7/9/2023,0,0.61,0,2.18
7/16/2023,0,0.62,0,2.19
7/23/2023,2,0.64,0,2.2
7/30/2023,0,0.66,0,2.23
8/6/2023,1,0.7,0,2.26
8/13/2023,0,0.74,0,2.3
8/20/2023,1,0.78,0,2.34
8/27/2023,0,0.84,0,2.4
9/3/2023,0,0.9,0,2.47
9/10/2023,3,0.98,0,2.54
9/17/2023,1,1.06,0,2.62
9/24/2023,5,1.15,0,2.72
10/1/2023,5,1.25,0,2.82
10/8/2023,1,1.37,0,2.94
10/15/2023,1,1.5,0,3.07
10/22/2023,0,1.64,0.07,3.22
10/29/2023,2,1.81,0.23,3.39
11/5/2023,1,2,0.42,3.58
11/12/2023,0,2.21,0.63,3.8
11/19/2023,0,2.45,0.87,4.04
11/26/2023,0,2.72,1.14,4.31
12/3/2023,1,3.02,1.43,4.6
12/10/2023,2,3.34,1.75,4.93
12/17/2023,3,3.69,2.1,5.28
12/24/2023,11,4.06,2.48,5.65
12/31/2023,4,4.46,2.87,6.05
1/7/2024,4,4.88,3.28,6.48
1/14/2024,2,5.32,3.71,6.94
1/21/2024,2,5.79,4.14,7.43
1/28/2024,5,6.28,4.59,7.96
2/4/2024,3,6.78,5.03,8.52
2/11/2024,14,7.3,5.47,9.13
2/18/2024,9,7.83,5.89,9.77
2/25/2024,6,8.37,6.29,10.45
3/3/2024,3,8.92,6.67,11.17
3/10/2024,11,9.48,7.02,11.93
3/17/2024,31,10.03,7.33,12.72
3/24/2024,1,10.58,7.62,13.55
3/31/2024,NA,11.14,7.87,14.41
4/7/2024,NA,11.69,8.1,15.28
4/14/2024,NA,12.25,8.32,16.17
4/21/2024,NA,12.8,8.53,17.08
