time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,2
2,0,0,0,2
3,0,0,0,3
4,0,0,0,3
5,0,0,0,3
6,1,0,0,3
7,0,0,0,3
8,1,0,0,4
9,1,0,0,4
10,1,0,0,4
11,1,0,0,4
12,1,0,0,5
13,2,0,0,5
14,0,0,0,5
15,0,0,0,5
16,1,0,0,5
17,0,0,0,6
18,2,0,0,6
19,2,0,0,6
20,2,0,0,6
21,1,0,0,7
22,0,0,0,6
23,0,0,0,7
24,0,0,0,7
25,0,1,0,7
26,0,1,0,7
27,0,1,0,7.5
28,2,1,0,8
29,0,1,0,8
30,1,1,0,8
31,0,1,0,9
32,1,1,0,9
33,0,1,0,9
34,0,1,0,9
35,3,1,0,9
36,1,2,0,10
37,5,2,0,10
38,5,2,0,10
39,1,2,0,10
40,1,2,0,11
41,0,2,0,11
42,2,2,0,11
43,1,2,0,12
44,0,2,0,12
45,0,3,0,12
46,0,3,0,13
47,1,3,0,12
48,2,3,0,13
49,3,3,0,13
50,11,3,0,13
51,4,3,0,14
52,4,4,0,14
53,2,4,0,14
54,2,4,0,14.5
55,5,4,0,15
56,3,4,0,16
57,14,4,0,17
58,9,5,0,17
59,6,5,0,17
60,3,5,0,17
61,11,5,0,18
62,39,6,0,18
63,7,6,0,18
64,2,6,0,18
NaN,NaN,6,0,19
NaN,NaN,6,0,19
NaN,NaN,6,0,20
NaN,NaN,7,1,21
