time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,1,0,0,1
7,0,0,0,1
8,1,0,0,1
9,1,0,0,1
10,1,0,0,1
11,1,0,0,1
12,1,0,0,1
13,2,0,0,2
14,0,0,0,2
15,0,0,0,2
16,1,0,0,2
17,0,0,0,2
18,2,0,0,2
19,2,0,0,2
20,2,0,0,2
21,1,0,0,2
22,0,0,0,2
23,0,0,0,2
24,0,0,0,2
25,0,0,0,3
26,0,0,0,3
27,0,1,0,3
28,2,1,0,3
29,0,1,0,3
30,1,1,0,3
31,0,1,0,3
32,1,1,0,4
33,0,1,0,4
34,0,1,0,4
35,3,1,0,4
36,1,1,0,4
37,5,1,0,5
38,5,2,0,5
39,1,2,0,5
40,1,2,0,5
41,0,2,0,5
42,2,2,0,6
43,1,2,0,6
44,0,3,0,6
45,0,3,0,7
46,0,3,0,7
47,1,3,0,7
48,2,3,0,8
49,3,4,1,8
50,11,4,1,9
51,4,4,1,9
52,4,5,1,10
53,2,5,1,10
54,2,6,1,11
55,5,6,2,12
56,3,6,2,12
57,14,7,2,13
58,9,7,3,14
59,6,8,3,14
60,3,9,3,15
61,11,9,4,16
62,39,10,4,18
63,7,11,5,19
64,2,12,5,20
NaN,NaN,13,6,21
NaN,NaN,14,7,22
NaN,NaN,15,7,24
NaN,NaN,16,8,25
